,G,Date,Start (ET),Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,teamgame,season
51,52,"Sat, Feb 6, 2016",7:30p,Box Score,@,Philadelphia 76ers,L,,98,103,13,39,L 1,BRK,2016
52,53,"Mon, Feb 8, 2016",7:30p,Box Score,,Denver Nuggets,W,,105,104,14,39,W 1,BRK,2016
53,54,"Wed, Feb 10, 2016",7:30p,Box Score,,Memphis Grizzlies,L,,90,109,14,40,L 1,BRK,2016
54,55,"Fri, Feb 19, 2016",7:30p,Box Score,,New York Knicks,W,,109,98,15,40,W 1,BRK,2016
55,56,"Sun, Feb 21, 2016",6:00p,Box Score,,Charlotte Hornets,L,,96,104,15,41,L 1,BRK,2016
56,57,"Tue, Feb 23, 2016",10:00p,Box Score,@,Portland Trail Blazers,L,,104,112,15,42,L 2,BRK,2016
57,58,"Thu, Feb 25, 2016",9:00p,Box Score,@,Phoenix Suns,W,,116,106,16,42,W 1,BRK,2016
58,59,"Sat, Feb 27, 2016",9:30p,Box Score,@,Utah Jazz,W,,98,96,17,42,W 2,BRK,2016
59,60,"Mon, Feb 29, 2016",10:30p,Box Score,@,Los Angeles Clippers,L,,95,105,17,43,L 1,BRK,2016
60,61,"Tue, Mar 1, 2016",10:30p,Box Score,@,Los Angeles Lakers,L,,101,107,17,44,L 2,BRK,2016
61,62,"Fri, Mar 4, 2016",9:00p,Box Score,@,Denver Nuggets,W,OT,121,120,18,44,W 1,BRK,2016
62,63,"Sat, Mar 5, 2016",8:00p,Box Score,@,Minnesota Timberwolves,L,,118,132,18,45,L 1,BRK,2016
63,64,"Tue, Mar 8, 2016",7:30p,Box Score,@,Toronto Raptors,L,,99,104,18,46,L 2,BRK,2016
64,65,"Fri, Mar 11, 2016",7:00p,Box Score,@,Philadelphia 76ers,L,,89,95,18,47,L 3,BRK,2016
65,66,"Sun, Mar 13, 2016",8:00p,Box Score,,Milwaukee Bucks,L,,100,109,18,48,L 4,BRK,2016
66,67,"Tue, Mar 15, 2016",7:30p,Box Score,,Philadelphia 76ers,W,,131,114,19,48,W 1,BRK,2016
67,68,"Thu, Mar 17, 2016",8:00p,Box Score,@,Chicago Bulls,L,,102,118,19,49,L 1,BRK,2016
68,69,"Sat, Mar 19, 2016",7:00p,Box Score,@,Detroit Pistons,L,,103,115,19,50,L 2,BRK,2016
69,70,"Tue, Mar 22, 2016",7:30p,Box Score,,Charlotte Hornets,L,,100,105,19,51,L 3,BRK,2016
70,71,"Thu, Mar 24, 2016",7:30p,Box Score,,Cleveland Cavaliers,W,,104,95,20,51,W 1,BRK,2016
71,72,"Sat, Mar 26, 2016",6:00p,Box Score,,Indiana Pacers,W,,120,110,21,51,W 2,BRK,2016
72,73,"Mon, Mar 28, 2016",7:30p,Box Score,@,Miami Heat,L,,99,110,21,52,L 1,BRK,2016
73,74,"Tue, Mar 29, 2016",7:00p,Box Score,@,Orlando Magic,L,,105,139,21,53,L 2,BRK,2016
74,75,"Thu, Mar 31, 2016",7:00p,Box Score,@,Cleveland Cavaliers,L,,87,107,21,54,L 3,BRK,2016
75,76,"Fri, Apr 1, 2016",7:30p,Box Score,@,New York Knicks,L,,91,105,21,55,L 4,BRK,2016
76,77,"Sun, Apr 3, 2016",1:00p,Box Score,,New Orleans Pelicans,L,,87,106,21,56,L 5,BRK,2016
77,78,"Wed, Apr 6, 2016",7:00p,Box Score,@,Washington Wizards,L,,103,121,21,57,L 6,BRK,2016
78,79,"Fri, Apr 8, 2016",7:00p,Box Score,@,Charlotte Hornets,L,,99,113,21,58,L 7,BRK,2016
79,80,"Sun, Apr 10, 2016",6:00p,Box Score,@,Indiana Pacers,L,,105,129,21,59,L 8,BRK,2016
80,81,"Mon, Apr 11, 2016",7:30p,Box Score,,Washington Wizards,L,,111,120,21,60,L 9,BRK,2016
81,82,"Wed, Apr 13, 2016",8:00p,Box Score,,Toronto Raptors,L,,96,103,21,61,L 10,BRK,2016
0,1,"Wed, Oct 26, 2016",7:30p,Box Score,@,Boston Celtics,L,,117,122,0,1,L 1,BRK,2017
1,2,"Fri, Oct 28, 2016",7:30p,Box Score,,Indiana Pacers,W,,103,94,1,1,W 1,BRK,2017
2,3,"Sat, Oct 29, 2016",8:00p,Box Score,@,Milwaukee Bucks,L,,108,110,1,2,L 1,BRK,2017
3,4,"Mon, Oct 31, 2016",7:30p,Box Score,,Chicago Bulls,L,,88,118,1,3,L 2,BRK,2017
4,5,"Wed, Nov 2, 2016",7:30p,Box Score,,Detroit Pistons,W,,109,101,2,3,W 1,BRK,2017
5,6,"Fri, Nov 4, 2016",7:30p,Box Score,,Charlotte Hornets,L,,95,99,2,4,L 1,BRK,2017
6,7,"Tue, Nov 8, 2016",7:30p,Box Score,,Minnesota Timberwolves,W,,119,110,3,4,W 1,BRK,2017
7,8,"Wed, Nov 9, 2016",7:00p,Box Score,@,New York Knicks,L,,96,110,3,5,L 1,BRK,2017
8,9,"Sat, Nov 12, 2016",9:00p,Box Score,@,Phoenix Suns,W,,122,104,4,5,W 1,BRK,2017
9,10,"Mon, Nov 14, 2016",10:30p,Box Score,@,Los Angeles Clippers,L,,95,127,4,6,L 1,BRK,2017
10,11,"Tue, Nov 15, 2016",10:30p,Box Score,@,Los Angeles Lakers,L,,118,125,4,7,L 2,BRK,2017
11,12,"Fri, Nov 18, 2016",8:00p,Box Score,@,Oklahoma City Thunder,L,,105,124,4,8,L 3,BRK,2017
12,13,"Sun, Nov 20, 2016",3:30p,Box Score,,Portland Trail Blazers,L,,109,129,4,9,L 4,BRK,2017
13,14,"Wed, Nov 23, 2016",7:30p,Box Score,,Boston Celtics,L,,92,111,4,10,L 5,BRK,2017
14,15,"Fri, Nov 25, 2016",8:00p,Box Score,@,Indiana Pacers,L,,97,118,4,11,L 6,BRK,2017
15,16,"Sun, Nov 27, 2016",6:00p,Box Score,,Sacramento Kings,L,,105,122,4,12,L 7,BRK,2017
16,17,"Tue, Nov 29, 2016",7:30p,Box Score,,Los Angeles Clippers,W,2OT,127,122,5,12,W 1,BRK,2017
17,18,"Thu, Dec 1, 2016",7:30p,Box Score,,Milwaukee Bucks,L,,93,111,5,13,L 1,BRK,2017
18,19,"Sat, Dec 3, 2016",5:00p,Box Score,@,Milwaukee Bucks,L,,103,112,5,14,L 2,BRK,2017
19,20,"Mon, Dec 5, 2016",7:30p,Box Score,,Washington Wizards,L,,113,118,5,15,L 3,BRK,2017
20,21,"Wed, Dec 7, 2016",7:30p,Box Score,,Denver Nuggets,W,,116,111,6,15,W 1,BRK,2017
21,22,"Sat, Dec 10, 2016",8:30p,Box Score,@,San Antonio Spurs,L,,101,130,6,16,L 1,BRK,2017
22,23,"Mon, Dec 12, 2016",8:00p,Box Score,@,Houston Rockets,L,,118,122,6,17,L 2,BRK,2017
23,24,"Wed, Dec 14, 2016",7:30p,Box Score,,Los Angeles Lakers,W,,107,97,7,17,W 1,BRK,2017
24,25,"Fri, Dec 16, 2016",7:00p,Box Score,@,Orlando Magic,L,,111,118,7,18,L 1,BRK,2017
25,26,"Sun, Dec 18, 2016",6:00p,Box Score,@,Philadelphia 76ers,L,,107,108,7,19,L 2,BRK,2017
26,27,"Tue, Dec 20, 2016",7:30p,Box Score,@,Toronto Raptors,L,,104,116,7,20,L 3,BRK,2017
27,28,"Thu, Dec 22, 2016",7:30p,Box Score,,Golden State Warriors,L,,101,117,7,21,L 4,BRK,2017
28,29,"Fri, Dec 23, 2016",7:30p,Box Score,@,Cleveland Cavaliers,L,,99,119,7,22,L 5,BRK,2017
29,30,"Mon, Dec 26, 2016",7:30p,Box Score,,Charlotte Hornets,W,,120,118,8,22,W 1,BRK,2017
30,31,"Wed, Dec 28, 2016",8:00p,Box Score,@,Chicago Bulls,L,,99,101,8,23,L 1,BRK,2017
31,32,"Fri, Dec 30, 2016",7:00p,Box Score,@,Washington Wizards,L,,95,118,8,24,L 2,BRK,2017
32,33,"Mon, Jan 2, 2017",7:30p,Box Score,,Utah Jazz,L,,89,101,8,25,L 3,BRK,2017
33,34,"Thu, Jan 5, 2017",7:00p,Box Score,@,Indiana Pacers,L,,109,121,8,26,L 4,BRK,2017
34,35,"Fri, Jan 6, 2017",7:30p,Box Score,,Cleveland Cavaliers,L,,108,116,8,27,L 5,BRK,2017
35,36,"Sun, Jan 8, 2017",12:00p,Box Score,,Philadelphia 76ers,L,,95,105,8,28,L 6,BRK,2017
36,37,"Tue, Jan 10, 2017",7:30p,Box Score,,Atlanta Hawks,L,,97,117,8,29,L 7,BRK,2017
37,38,"Thu, Jan 12, 2017",7:30p,Box Score,,New Orleans Pelicans,L,,95,104,8,30,L 8,BRK,2017
38,39,"Fri, Jan 13, 2017",7:30p,Box Score,@,Toronto Raptors,L,,113,132,8,31,L 9,BRK,2017
39,40,"Sun, Jan 15, 2017",6:00p,Box Score,,Houston Rockets,L,,112,137,8,32,L 10,BRK,2017
40,41,"Tue, Jan 17, 2017",7:30p,Box Score,,Toronto Raptors,L,,109,119,8,33,L 11,BRK,2017
41,42,"Fri, Jan 20, 2017",8:00p,Box Score,@,New Orleans Pelicans,W,,143,114,9,33,W 1,BRK,2017
42,43,"Sat, Jan 21, 2017",7:00p,Box Score,@,Charlotte Hornets,L,,105,112,9,34,L 1,BRK,2017
43,44,"Mon, Jan 23, 2017",7:30p,Box Score,,San Antonio Spurs,L,,86,112,9,35,L 2,BRK,2017
44,45,"Wed, Jan 25, 2017",7:30p,Box Score,,Miami Heat,L,,106,109,9,36,L 3,BRK,2017
45,46,"Fri, Jan 27, 2017",7:30p,Box Score,@,Cleveland Cavaliers,L,,116,124,9,37,L 4,BRK,2017
46,47,"Sat, Jan 28, 2017",9:00p,Box Score,@,Minnesota Timberwolves,L,,109,129,9,38,L 5,BRK,2017
47,48,"Mon, Jan 30, 2017",7:30p,Box Score,@,Miami Heat,L,,96,104,9,39,L 6,BRK,2017
48,49,"Wed, Feb 1, 2017",7:30p,Box Score,,New York Knicks,L,,90,95,9,40,L 7,BRK,2017
49,50,"Fri, Feb 3, 2017",7:30p,Box Score,,Indiana Pacers,L,,97,106,9,41,L 8,BRK,2017
50,51,"Sun, Feb 5, 2017",12:00p,Box Score,,Toronto Raptors,L,,95,103,9,42,L 9,BRK,2017
51,52,"Tue, Feb 7, 2017",7:00p,Box Score,@,Charlotte Hornets,L,,107,111,9,43,L 10,BRK,2017
52,53,"Wed, Feb 8, 2017",7:30p,Box Score,,Washington Wizards,L,OT,110,114,9,44,L 11,BRK,2017
53,54,"Fri, Feb 10, 2017",7:30p,Box Score,,Miami Heat,L,,99,108,9,45,L 12,BRK,2017
54,55,"Mon, Feb 13, 2017",7:30p,Box Score,,Memphis Grizzlies,L,,103,112,9,46,L 13,BRK,2017
55,56,"Wed, Feb 15, 2017",7:30p,Box Score,,Milwaukee Bucks,L,,125,129,9,47,L 14,BRK,2017
56,57,"Fri, Feb 24, 2017",9:00p,Box Score,@,Denver Nuggets,L,,109,129,9,48,L 15,BRK,2017
57,58,"Sat, Feb 25, 2017",10:30p,Box Score,@,Golden State Warriors,L,,95,112,9,49,L 16,BRK,2017
58,59,"Wed, Mar 1, 2017",10:30p,Box Score,@,Sacramento Kings,W,,109,100,10,49,W 1,BRK,2017
59,60,"Fri, Mar 3, 2017",9:00p,Box Score,@,Utah Jazz,L,,97,112,10,50,L 1,BRK,2017
60,61,"Sat, Mar 4, 2017",10:00p,Box Score,@,Portland Trail Blazers,L,,116,130,10,51,L 2,BRK,2017
61,62,"Mon, Mar 6, 2017",8:00p,Box Score,@,Memphis Grizzlies,W,,122,109,11,51,W 1,BRK,2017
62,63,"Wed, Mar 8, 2017",7:30p,Box Score,@,Atlanta Hawks,L,,105,110,11,52,L 1,BRK,2017
63,64,"Fri, Mar 10, 2017",9:00p,Box Score,@,Dallas Mavericks,L,,96,105,11,53,L 2,BRK,2017
64,65,"Sun, Mar 12, 2017",6:00p,Box Score,,New York Knicks,W,,120,112,12,53,W 1,BRK,2017
65,66,"Tue, Mar 14, 2017",7:30p,Box Score,,Oklahoma City Thunder,L,,104,122,12,54,L 1,BRK,2017
66,67,"Thu, Mar 16, 2017",7:30p,Box Score,@,New York Knicks,W,,121,110,13,54,W 1,BRK,2017
67,68,"Fri, Mar 17, 2017",7:30p,Box Score,,Boston Celtics,L,,95,98,13,55,L 1,BRK,2017
68,69,"Sun, Mar 19, 2017",12:00p,Box Score,,Dallas Mavericks,L,,104,111,13,56,L 2,BRK,2017
69,70,"Tue, Mar 21, 2017",7:30p,Box Score,,Detroit Pistons,W,,98,96,14,56,W 1,BRK,2017
70,71,"Thu, Mar 23, 2017",7:30p,Box Score,,Phoenix Suns,W,,126,98,15,56,W 2,BRK,2017
71,72,"Fri, Mar 24, 2017",7:00p,Box Score,@,Washington Wizards,L,,108,129,15,57,L 1,BRK,2017
72,73,"Sun, Mar 26, 2017",1:00p,Box Score,@,Atlanta Hawks,W,,107,92,16,57,W 1,BRK,2017
73,74,"Tue, Mar 28, 2017",7:30p,Box Score,,Philadelphia 76ers,L,,101,106,16,58,L 1,BRK,2017
74,75,"Thu, Mar 30, 2017",7:30p,Box Score,@,Detroit Pistons,L,,89,90,16,59,L 2,BRK,2017
75,76,"Sat, Apr 1, 2017",6:00p,Box Score,,Orlando Magic,W,,121,111,17,59,W 1,BRK,2017
76,77,"Sun, Apr 2, 2017",6:00p,Box Score,,Atlanta Hawks,W,,91,82,18,59,W 2,BRK,2017
77,78,"Tue, Apr 4, 2017",7:00p,Box Score,@,Philadelphia 76ers,W,,141,118,19,59,W 3,BRK,2017
78,79,"Thu, Apr 6, 2017",7:00p,Box Score,@,Orlando Magic,L,,107,115,19,60,L 1,BRK,2017
79,80,"Sat, Apr 8, 2017",5:00p,Box Score,,Chicago Bulls,W,,107,106,20,60,W 1,BRK,2017
80,81,"Mon, Apr 10, 2017",7:30p,Box Score,@,Boston Celtics,L,,105,114,20,61,L 1,BRK,2017
81,82,"Wed, Apr 12, 2017",8:00p,Box Score,@,Chicago Bulls,L,,73,112,20,62,L 2,BRK,2017
0,1,"Wed, Oct 18, 2017",7:00p,Box Score,@,Indiana Pacers,L,,131,140,0,1,L 1,BRK,2018
1,2,"Fri, Oct 20, 2017",7:30p,Box Score,,Orlando Magic,W,,126,121,1,1,W 1,BRK,2018
2,3,"Sun, Oct 22, 2017",3:30p,Box Score,,Atlanta Hawks,W,,116,104,2,1,W 2,BRK,2018
3,4,"Tue, Oct 24, 2017",7:00p,Box Score,@,Orlando Magic,L,,121,125,2,2,L 1,BRK,2018
4,5,"Wed, Oct 25, 2017",7:30p,Box Score,,Cleveland Cavaliers,W,,112,107,3,2,W 1,BRK,2018
5,6,"Fri, Oct 27, 2017",7:30p,Box Score,@,New York Knicks,L,,86,107,3,3,L 1,BRK,2018
6,7,"Sun, Oct 29, 2017",6:00p,Box Score,,Denver Nuggets,L,,111,124,3,4,L 2,BRK,2018
7,8,"Tue, Oct 31, 2017",7:30p,Box Score,,Phoenix Suns,L,,114,122,3,5,L 3,BRK,2018
8,9,"Fri, Nov 3, 2017",10:30p,Box Score,@,Los Angeles Lakers,L,,112,124,3,6,L 4,BRK,2018
9,10,"Mon, Nov 6, 2017",9:00p,Box Score,@,Phoenix Suns,W,,98,92,4,6,W 1,BRK,2018
10,11,"Tue, Nov 7, 2017",9:00p,Box Score,@,Denver Nuggets,L,,104,112,4,7,L 1,BRK,2018
11,12,"Fri, Nov 10, 2017",10:00p,Box Score,@,Portland Trail Blazers,W,,101,97,5,7,W 1,BRK,2018
12,13,"Sat, Nov 11, 2017",9:00p,Box Score,@,Utah Jazz,L,,106,114,5,8,L 1,BRK,2018
13,14,"Tue, Nov 14, 2017",7:30p,Box Score,,Boston Celtics,L,,102,109,5,9,L 2,BRK,2018
14,15,"Fri, Nov 17, 2017",7:30p,Box Score,,Utah Jazz,W,,118,107,6,9,W 1,BRK,2018
15,16,"Sun, Nov 19, 2017",6:00p,Box Score,,Golden State Warriors,L,,111,118,6,10,L 1,BRK,2018
16,17,"Wed, Nov 22, 2017",7:00p,Box Score,@,Cleveland Cavaliers,L,,109,119,6,11,L 2,BRK,2018
17,18,"Fri, Nov 24, 2017",12:00p,Box Score,,Portland Trail Blazers,L,,125,127,6,12,L 3,BRK,2018
18,19,"Sun, Nov 26, 2017",6:00p,Box Score,@,Memphis Grizzlies,W,,98,88,7,12,W 1,BRK,2018
19,20,"Mon, Nov 27, 2017",8:00p,Box Score,@,Houston Rockets,L,,103,117,7,13,L 1,BRK,2018
20,21,"Wed, Nov 29, 2017",8:30p,Box Score,@,Dallas Mavericks,W,,109,104,8,13,W 1,BRK,2018
21,22,"Sat, Dec 2, 2017",3:00p,Box Score,,Atlanta Hawks,L,,102,114,8,14,L 1,BRK,2018
22,23,"Mon, Dec 4, 2017",7:30p,Box Score,@,Atlanta Hawks,W,,110,90,9,14,W 1,BRK,2018
23,24,"Thu, Dec 7, 2017",10:00p,Box Score,,Oklahoma City Thunder,W,,100,95,10,14,W 2,BRK,2018
24,25,"Sat, Dec 9, 2017",6:00p,Box Score,,Miami Heat,L,,89,101,10,15,L 1,BRK,2018
25,26,"Tue, Dec 12, 2017",7:30p,Box Score,,Washington Wizards,W,,103,98,11,15,W 1,BRK,2018
26,27,"Thu, Dec 14, 2017",7:30p,Box Score,,New York Knicks,L,,104,111,11,16,L 1,BRK,2018
27,28,"Fri, Dec 15, 2017",7:30p,Box Score,@,Toronto Raptors,L,,87,120,11,17,L 2,BRK,2018
28,29,"Sun, Dec 17, 2017",6:00p,Box Score,,Indiana Pacers,L,,97,109,11,18,L 3,BRK,2018
29,30,"Wed, Dec 20, 2017",7:30p,Box Score,,Sacramento Kings,L,,99,104,11,19,L 4,BRK,2018
30,31,"Fri, Dec 22, 2017",7:30p,Box Score,,Washington Wizards,W,,119,84,12,19,W 1,BRK,2018
31,32,"Sat, Dec 23, 2017",7:00p,Box Score,@,Indiana Pacers,L,OT,119,123,12,20,L 1,BRK,2018
32,33,"Tue, Dec 26, 2017",8:30p,Box Score,@,San Antonio Spurs,L,,97,109,12,21,L 2,BRK,2018
33,34,"Wed, Dec 27, 2017",8:00p,Box Score,@,New Orleans Pelicans,L,,113,128,12,22,L 3,BRK,2018
34,35,"Fri, Dec 29, 2017",8:00p,Box Score,@,Miami Heat,W,,111,87,13,22,W 1,BRK,2018
35,36,"Sun, Dec 31, 2017",5:30p,Box Score,@,Boston Celtics,L,,105,108,13,23,L 1,BRK,2018
36,37,"Mon, Jan 1, 2018",7:30p,Box Score,,Orlando Magic,W,,98,95,14,23,W 1,BRK,2018
37,38,"Wed, Jan 3, 2018",7:30p,Box Score,,Minnesota Timberwolves,W,,98,97,15,23,W 2,BRK,2018
38,39,"Sat, Jan 6, 2018",6:00p,Box Score,,Boston Celtics,L,,85,87,15,24,L 1,BRK,2018
39,40,"Mon, Jan 8, 2018",7:30p,Box Score,,Toronto Raptors,L,OT,113,114,15,25,L 2,BRK,2018
40,41,"Wed, Jan 10, 2018",7:30p,Box Score,,Detroit Pistons,L,,80,114,15,26,L 3,BRK,2018
41,42,"Fri, Jan 12, 2018",7:30p,Box Score,@,Atlanta Hawks,W,,110,105,16,26,W 1,BRK,2018
42,43,"Sat, Jan 13, 2018",7:00p,Box Score,@,Washington Wizards,L,OT,113,119,16,27,L 1,BRK,2018
43,44,"Mon, Jan 15, 2018",3:00p,Box Score,,New York Knicks,L,,104,119,16,28,L 2,BRK,2018
44,45,"Wed, Jan 17, 2018",7:30p,Box Score,,San Antonio Spurs,L,,95,100,16,29,L 3,BRK,2018
45,46,"Fri, Jan 19, 2018",7:30p,Box Score,,Miami Heat,W,,101,95,17,29,W 1,BRK,2018
46,47,"Sun, Jan 21, 2018",4:00p,Box Score,@,Detroit Pistons,W,,101,100,18,29,W 2,BRK,2018
47,48,"Tue, Jan 23, 2018",8:00p,Box Score,@,Oklahoma City Thunder,L,,108,109,18,30,L 1,BRK,2018
48,49,"Fri, Jan 26, 2018",8:00p,Box Score,@,Milwaukee Bucks,L,,91,116,18,31,L 2,BRK,2018
49,50,"Sat, Jan 27, 2018",9:00p,Box Score,@,Minnesota Timberwolves,L,,97,111,18,32,L 3,BRK,2018
50,51,"Tue, Jan 30, 2018",7:30p,Box Score,@,New York Knicks,L,,95,111,18,33,L 4,BRK,2018
51,52,"Wed, Jan 31, 2018",7:30p,Box Score,,Philadelphia 76ers,W,,116,108,19,33,W 1,BRK,2018
52,53,"Fri, Feb 2, 2018",7:30p,Box Score,,Los Angeles Lakers,L,,99,102,19,34,L 1,BRK,2018
53,54,"Sun, Feb 4, 2018",12:00p,Box Score,,Milwaukee Bucks,L,,94,109,19,35,L 2,BRK,2018
54,55,"Tue, Feb 6, 2018",7:30p,Box Score,,Houston Rockets,L,,113,123,19,36,L 3,BRK,2018
55,56,"Wed, Feb 7, 2018",7:00p,Box Score,@,Detroit Pistons,L,,106,115,19,37,L 4,BRK,2018
56,57,"Sat, Feb 10, 2018",6:00p,Box Score,,New Orleans Pelicans,L,2OT,128,138,19,38,L 5,BRK,2018
57,58,"Mon, Feb 12, 2018",7:30p,Box Score,,Los Angeles Clippers,L,,101,114,19,39,L 6,BRK,2018
58,59,"Wed, Feb 14, 2018",7:30p,Box Score,,Indiana Pacers,L,,103,108,19,40,L 7,BRK,2018
59,60,"Thu, Feb 22, 2018",7:00p,Box Score,@,Charlotte Hornets,L,,96,111,19,41,L 8,BRK,2018
60,61,"Mon, Feb 26, 2018",7:30p,Box Score,,Chicago Bulls,W,,104,87,20,41,W 1,BRK,2018
61,62,"Tue, Feb 27, 2018",7:00p,Box Score,@,Cleveland Cavaliers,L,,123,129,20,42,L 1,BRK,2018
62,63,"Thu, Mar 1, 2018",10:00p,Box Score,@,Sacramento Kings,L,OT,111,116,20,43,L 2,BRK,2018
63,64,"Sun, Mar 4, 2018",9:00p,Box Score,@,Los Angeles Clippers,L,,120,123,20,44,L 3,BRK,2018
64,65,"Tue, Mar 6, 2018",10:30p,Box Score,@,Golden State Warriors,L,,101,114,20,45,L 4,BRK,2018
65,66,"Thu, Mar 8, 2018",7:00p,Box Score,@,Charlotte Hornets,W,,125,111,21,45,W 1,BRK,2018
66,67,"Sun, Mar 11, 2018",7:30p,Box Score,,Philadelphia 76ers,L,,97,120,21,46,L 1,BRK,2018
67,68,"Tue, Mar 13, 2018",7:30p,Box Score,,Toronto Raptors,L,,102,116,21,47,L 2,BRK,2018
68,69,"Fri, Mar 16, 2018",7:00p,Box Score,@,Philadelphia 76ers,L,,116,120,21,48,L 3,BRK,2018
69,70,"Sat, Mar 17, 2018",7:30p,Box Score,,Dallas Mavericks,W,,114,106,22,48,W 1,BRK,2018
70,71,"Mon, Mar 19, 2018",7:30p,Box Score,,Memphis Grizzlies,W,,118,115,23,48,W 2,BRK,2018
71,72,"Wed, Mar 21, 2018",7:30p,Box Score,,Charlotte Hornets,L,,105,111,23,49,L 1,BRK,2018
72,73,"Fri, Mar 23, 2018",7:30p,Box Score,@,Toronto Raptors,L,,112,116,23,50,L 2,BRK,2018
73,74,"Sun, Mar 25, 2018",1:00p,Box Score,,Cleveland Cavaliers,L,,114,121,23,51,L 3,BRK,2018
74,75,"Wed, Mar 28, 2018",7:00p,Box Score,@,Orlando Magic,W,,111,104,24,51,W 1,BRK,2018
75,76,"Sat, Mar 31, 2018",8:00p,Box Score,@,Miami Heat,W,OT,110,109,25,51,W 2,BRK,2018
76,77,"Sun, Apr 1, 2018",6:00p,Box Score,,Detroit Pistons,L,,96,108,25,52,L 1,BRK,2018
77,78,"Tue, Apr 3, 2018",7:00p,Box Score,@,Philadelphia 76ers,L,,95,121,25,53,L 2,BRK,2018
78,79,"Thu, Apr 5, 2018",8:00p,Box Score,@,Milwaukee Bucks,W,,119,111,26,53,W 1,BRK,2018
79,80,"Sat, Apr 7, 2018",8:00p,Box Score,@,Chicago Bulls,W,,124,96,27,53,W 2,BRK,2018
80,81,"Mon, Apr 9, 2018",7:30p,Box Score,,Chicago Bulls,W,,114,105,28,53,W 3,BRK,2018
81,82,"Wed, Apr 11, 2018",8:00p,Box Score,@,Boston Celtics,L,,97,110,28,54,L 1,BRK,2018
0,1,"Wed, Oct 17, 2018",7:00p,Box Score,@,Detroit Pistons,L,,100,103,0,1,L 1,BRK,2019
1,2,"Fri, Oct 19, 2018",7:30p,Box Score,,New York Knicks,W,,107,105,1,1,W 1,BRK,2019
2,3,"Sat, Oct 20, 2018",7:00p,Box Score,@,Indiana Pacers,L,,112,132,1,2,L 1,BRK,2019
3,4,"Wed, Oct 24, 2018",7:00p,Box Score,@,Cleveland Cavaliers,W,,102,86,2,2,W 1,BRK,2019
4,5,"Fri, Oct 26, 2018",8:00p,Box Score,@,New Orleans Pelicans,L,,115,117,2,3,L 1,BRK,2019
5,6,"Sun, Oct 28, 2018",5:00p,Box Score,,Golden State Warriors,L,,114,120,2,4,L 2,BRK,2019
6,7,"Mon, Oct 29, 2018",7:30p,Box Score,@,New York Knicks,L,,96,115,2,5,L 3,BRK,2019
7,8,"Wed, Oct 31, 2018",7:30p,Box Score,,Detroit Pistons,W,OT,120,119,3,5,W 1,BRK,2019
8,9,"Fri, Nov 2, 2018",7:30p,Box Score,,Houston Rockets,L,,111,119,3,6,L 1,BRK,2019
9,10,"Sun, Nov 4, 2018",6:00p,Box Score,,Philadelphia 76ers,W,,122,97,4,6,W 1,BRK,2019
10,11,"Tue, Nov 6, 2018",9:00p,Box Score,@,Phoenix Suns,W,,104,82,5,6,W 2,BRK,2019
11,12,"Fri, Nov 9, 2018",9:00p,Box Score,@,Denver Nuggets,W,,112,110,6,6,W 3,BRK,2019
12,13,"Sat, Nov 10, 2018",8:30p,Box Score,@,Golden State Warriors,L,,100,116,6,7,L 1,BRK,2019
13,14,"Mon, Nov 12, 2018",8:00p,Box Score,@,Minnesota Timberwolves,L,,113,120,6,8,L 2,BRK,2019
14,15,"Wed, Nov 14, 2018",7:30p,Box Score,,Miami Heat,L,,107,120,6,9,L 3,BRK,2019
15,16,"Fri, Nov 16, 2018",7:00p,Box Score,@,Washington Wizards,W,,115,104,7,9,W 1,BRK,2019
16,17,"Sat, Nov 17, 2018",6:00p,Box Score,,Los Angeles Clippers,L,,119,127,7,10,L 1,BRK,2019
17,18,"Tue, Nov 20, 2018",7:30p,Box Score,@,Miami Heat,W,,104,92,8,10,W 1,BRK,2019
18,19,"Wed, Nov 21, 2018",8:30p,Box Score,@,Dallas Mavericks,L,,113,119,8,11,L 1,BRK,2019
19,20,"Fri, Nov 23, 2018",12:00p,Box Score,,Minnesota Timberwolves,L,,102,112,8,12,L 2,BRK,2019
20,21,"Sun, Nov 25, 2018",6:00p,Box Score,,Philadelphia 76ers,L,,125,127,8,13,L 3,BRK,2019
21,22,"Wed, Nov 28, 2018",7:30p,Box Score,,Utah Jazz,L,,91,101,8,14,L 4,BRK,2019
22,23,"Fri, Nov 30, 2018",7:30p,Box Score,,Memphis Grizzlies,L,2OT,125,131,8,15,L 5,BRK,2019
23,24,"Sat, Dec 1, 2018",7:00p,Box Score,@,Washington Wizards,L,,88,102,8,16,L 6,BRK,2019
24,25,"Mon, Dec 3, 2018",7:30p,Box Score,,Cleveland Cavaliers,L,,97,99,8,17,L 7,BRK,2019
25,26,"Wed, Dec 5, 2018",7:30p,Box Score,,Oklahoma City Thunder,L,,112,114,8,18,L 8,BRK,2019
26,27,"Fri, Dec 7, 2018",7:30p,Box Score,,Toronto Raptors,W,OT,106,105,9,18,W 1,BRK,2019
27,28,"Sat, Dec 8, 2018",7:30p,Box Score,@,New York Knicks,W,,112,104,10,18,W 2,BRK,2019
28,29,"Wed, Dec 12, 2018",7:00p,Box Score,@,Philadelphia 76ers,W,,127,124,11,18,W 3,BRK,2019
